,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
21,"Mieszkanie 55,80m2 - 3 pokoje Drabinianka",https://www.otodom.pl/pl/oferta/mieszkanie-55-80m2-3-pokoje-drabinianka-ID4dAbu,"Rzeszów, Drabinianka","55,80 m²",357 120 zł,,3,,,1,4,pierwotny,,blok,
22,Ustawne Mieszkanie na Osiedlu Architektów A2.0.M55,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-a2-0-m55-ID4dyCC,"Rzeszów, Staroniwa, ul. Architektów","25,02 m²",230 184 zł,,1,,,parter,8,pierwotny,2023,blok,
23,Mieszkanie na Osiedlu Architektów B1.8.M62,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-b1-8-m62-ID4dzH1,"Rzeszów, Staroniwa, ul. Architektów","25,03 m²",230 276 zł,,1,,,parter,,pierwotny,2023,blok,
24,Mieszkanie na Osiedlu Architektów A2.3.M74,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a2-3-m74-ID4dyOI,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,3,8,pierwotny,2023,blok,
25,Mieszkanie na Osiedlu Architektów B3.0.M111,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-b3-0-m111-ID4dzTe,"Rzeszów, Staroniwa, ul. Architektów","25,09 m²",230 828 zł,,1,,,parter,8,pierwotny,2023,blok,
26,Idealne pod inwestycję.,https://www.otodom.pl/pl/oferta/idealne-pod-inwestycje-ID4dAau,"Rzeszów, podkarpackie","58,40 m²",419 000 zł,562 zł,3,cegła,miejskie,parter,4,wtórny,1961,blok,do zamieszkania
27,"Mieszkanie 52,58m2 - 3 pokoje, Drabinianka",https://www.otodom.pl/pl/oferta/mieszkanie-52-58m2-3-pokoje-drabinianka-ID4dA9W,"Rzeszów, Drabinianka","52,68 m²",337 152 zł,,3,,,1,4,pierwotny,,,
28,"Mieszkanie 47,36m2 - 2 pokoje - Drabinianka",https://www.otodom.pl/pl/oferta/mieszkanie-47-36m2-2-pokoje-drabinianka-ID4dA9T,"Rzeszów, Drabinianka, Gościnna","47,36 m²",303 104 zł,,2,,,1,,pierwotny,,blok,
29,"Mieszkanie 61,57 m2 ul. Gościnna - 1 piętro",https://www.otodom.pl/pl/oferta/mieszkanie-61-57-m2-ul-goscinna-1-pietro-ID4dA9Q,"Rzeszów, Drabinianka, Gościnna","61,57 m²",394 048 zł,,3,,,,,pierwotny,,blok,
30,"65.30m2, Lenartowicza, 3 pokoje, 1 piętro",https://www.otodom.pl/pl/oferta/65-30m2-lenartowicza-3-pokoje-1-pietro-ID4dA9e,"ul. Teofila Aleksandra Lenartowicza, Rzeszów, podkarpackie","65,30 m²",430 000 zł,,3,wielka płyta,miejskie,1,11,wtórny,,blok,do remontu
31,Sprawdzone pod wynajem / ciekawy układ,https://www.otodom.pl/pl/oferta/sprawdzone-pod-wynajem-ciekawy-uklad-ID4cRgY,"prof. Ludwika Chmaja, Rzeszów, podkarpackie","58,40 m²",419 000 zł,561 zł,3,cegła,miejskie,parter,4,wtórny,1961,blok,
32,Komfortowy Apartament M93,https://www.otodom.pl/pl/oferta/komfortowy-apartament-m93-ID4aU6r,"Rzeszów, Nowe Miasto, al. mjr. Wacława Kopisto","36,35 m²",Zapytaj o cenę,,2,,,1,14,pierwotny,2023,,do wykończenia
33,Przytulny Apartament M5,https://www.otodom.pl/pl/oferta/przytulny-apartament-m5-ID4aU8l,"Rzeszów, Nowe Miasto, al. mjr. Wacława Kopisto","43,25 m²",Zapytaj o cenę,,2,,,1,14,pierwotny,2023,,do wykończenia
34,Gotowe 3 pokojowe mieszkanie z rynku pierwotnego.,https://www.otodom.pl/pl/oferta/gotowe-3-pokojowe-mieszkanie-z-rynku-pierwotnego-ID4dA52,"Gromskiego, Rzeszów, podkarpackie","65,06 m²",445 661 zł,,3,pustak,gazowe,parter,3,wtórny,2021,blok,do wykończenia
35,"Rzeszów, mieszkanie 2 oddzielne pokoje z balkonem",https://www.otodom.pl/pl/oferta/rzeszow-mieszkanie-2-oddzielne-pokoje-z-balkonem-ID4dA4r,"Rzeszów, Zalesie, Wieniawskiego",49 m²,395 000 zł,,2,pustak,gazowe,parter,2,wtórny,2012,blok,do zamieszkania
36,Nowe Mieszkanie 2-pokojowe Nowoczesne Pobitno M31,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-nowoczesne-pobitno-m31-ID48BOv,"Rzeszów, Pobitno, ul. Małopolska","60,31 m²",424 482 zł,,3,,,8,,pierwotny,2021,,
37,Nowe Mieszkanie 2-pokojowe Nowoczesne Pobitno M32,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-nowoczesne-pobitno-m32-ID48BOy,"Rzeszów, Pobitno, ul. Małopolska","53,20 m²",371 575 zł,,3,,,8,,pierwotny,2021,,
38,2 pokoje | Dębowy Park 2.0| 36m2| Miła,https://www.otodom.pl/pl/oferta/2-pokoje-debowy-park-2-0-36m2-mila-ID478a6,"Rzeszów, Drabinianka, Miła","36,06 m²",274 050 zł,,2,pustak,,3,4,pierwotny,,blok,do wykończenia
