,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
203,Nowe Mieszkanie na Osiedlu Architektów A3.4.M127,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-4-m127-ID4dzqD,"Rzeszów, Staroniwa, ul. Architektów","64,23 m²","512 555,40 zł",,3,,,4,8,pierwotny,2023,blok,
204,Wygodne Mieszkanie Osiedle Architektów A3.4.M126,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-a3-4-m126-ID4dzqA,"Rzeszów, Staroniwa, ul. Architektów","61,90 m²",493 962 zł,,3,,,4,8,pierwotny,2023,blok,
205,Mieszkanie na Osiedlu Architektów A3.4.M125,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a3-4-m125-ID4dzqx,"Rzeszów, Staroniwa, ul. Architektów","30,43 m²",279 956 zł,,1,,,4,8,pierwotny,2023,blok,
206,Ustawne Mieszkanie Osiedle Architektów A3.3.M124,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-3-m124-ID4dzqu,"Rzeszów, Staroniwa, ul. Architektów","40,14 m²",337 176 zł,,2,,,3,8,pierwotny,2023,blok,
207,"dobra cena, fajna lokalizacja !!!",https://www.otodom.pl/pl/oferta/dobra-cena-fajna-lokalizacja-ID4dzqt,"Rzeszów, Baranówka, ul. Stanisława Mikołajczyka",49 m²,300 000 zł,,3,,,4,4,wtórny,,blok,
208,Przytulne Mieszkanie Osiedle Architektów A3.3.M123,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-osiedle-architektow-a3-3-m123-ID4dzqq,"Rzeszów, Staroniwa, ul. Architektów","42,90 m²",360 360 zł,,2,,,3,8,pierwotny,2023,blok,
209,Dwupoziomowe mieszkanie z garażem na Drabiniance,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-z-garazem-na-drabiniance-ID4dsm6,"Rzeszów, podkarpackie","74,25 m²",620 000 zł,300 zł,4,,gazowe,3,3,wtórny,2018,blok,do zamieszkania
210,Nowe Mieszkanie na Osiedlu Architektów A3.3.M122,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-3-m122-ID4dzqk,"Rzeszów, Staroniwa, ul. Architektów","37,40 m²",314 160 zł,,2,,,3,8,pierwotny,2023,blok,
211,Trzy Pokoje w Świetnej Lokalizacji,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-swietnej-lokalizacji-ID4dyS4,"Rzeszów, podkarpackie",49 m²,300 000 zł,500 zł,3,,miejskie,4,4,wtórny,1985,,do remontu
212,Ustawne Mieszkanie Osiedle Architektów A3.3.M121,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-3-m121-ID4dzqg,"Rzeszów, Staroniwa, ul. Architektów","42,96 m²",395 232 zł,,2,,,3,8,pierwotny,2023,blok,
213,Nowe Mieszkanie na Osiedlu Architektów A3.3.M120,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-3-m120-ID4dzqf,"Rzeszów, Staroniwa, ul. Architektów","64,23 m²","512 555,40 zł",,3,,,3,8,pierwotny,2023,blok,
214,Wygodne Mieszkanie Osiedle Architektów A3.3.M119,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-a3-3-m119-ID4dzqc,"Rzeszów, Staroniwa, ul. Architektów","61,90 m²",493 962 zł,,3,,,3,8,pierwotny,2023,blok,
215,Mieszkanie na Osiedlu Architektów A3.3.M118,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a3-3-m118-ID4dzq9,"Rzeszów, Staroniwa, ul. Architektów","30,43 m²",279 956 zł,,1,,,3,8,pierwotny,2023,blok,
216,"ładne, po remoncie na zielonym osiedlu !!!",https://www.otodom.pl/pl/oferta/ladne-po-remoncie-na-zielonym-osiedlu-ID4dzph,"ul. Stanisława Wyspiańskiego, Rzeszów, podkarpackie",59 m²,415 000 zł,,3,,miejskie,2,4,wtórny,,blok,
217,"Kawalerka 33,25m2 | od południa | Miła",https://www.otodom.pl/pl/oferta/kawalerka-33-25m2-od-poludnia-mila-ID477VE,"Rzeszów, Drabinianka, Miła","33,25 m²",259 350 zł,,1,pustak,miejskie,2,4,pierwotny,2020,blok,do wykończenia
218,"Nova Miła| M3-70,3m2| Parter 3 pokoje z ogródkiem",https://www.otodom.pl/pl/oferta/nova-mila-m3-70-3m2-parter-3-pokoje-z-ogrodkiem-ID4diD6,"Rzeszów, Drabinianka, ul. Miła","70,30 m²",424 770 zł,,3,,,parter,3,pierwotny,2023,blok,do wykończenia
219,"Nova Miła| M11 -57,0m2| Pietro I, 2 pokoje|",https://www.otodom.pl/pl/oferta/nova-mila-m11-57-0m2-pietro-i-2-pokoje-ID4diFS,"Rzeszów, Drabinianka, ul. Miła","57,02 m²",353 524 zł,,2,,,1,3,pierwotny,2023,blok,
220,Gotowe do zamieszkania mieszkanie z dużym ogrodem,https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-mieszkanie-z-duzym-ogrodem-ID4dvEa,"Rzeszów, Zalesie, ul. Henryka Wieniawskiego",98 m²,699 000 zł,,3,cegła,gazowe,parter,1,wtórny,2019,szeregowiec,do zamieszkania
221,Nowe mieszkanie 3 pokoje - Paderewskiego,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-3-pokoje-paderewskiego-ID4a9hj,"ul. Ignacego Paderewskiego, Rzeszów, podkarpackie","56,12 m²",490 000 zł,450 zł,3,,miejskie,1,,pierwotny,2020,blok,do zamieszkania
222,Mieszkania na Grabskiego przy Żwirowni!Nie przegap,https://www.otodom.pl/pl/oferta/mieszkania-na-grabskiego-przy-zwirowni-nie-przegap-ID4cs7k,"Rzeszów, Drabinianka, ul. Władysława Grabskiego","74,76 m²",747 600 zł,,2,,miejskie,8,8,pierwotny,2022,blok,do wykończenia
223,Mieszkania przy plaży - pierwsze takie osiedle!,https://www.otodom.pl/pl/oferta/mieszkania-przy-plazy-pierwsze-takie-osiedle-ID4b685,"ul. Kwiatkowskiego, Rzeszów, podkarpackie","39,53 m²",336 005 zł,,2,,miejskie,1,15,pierwotny,2022,blok,do wykończenia
224,Mieszkania na Kwiatkowskiego - małe metraże!,https://www.otodom.pl/pl/oferta/mieszkania-na-kwiatkowskiego-male-metraze-ID4bxmt,"ul. Kwiatkowskiego, Rzeszów, podkarpackie","45,91 m²",454 509 zł,,3,,miejskie,6,12,pierwotny,2022,blok,do wykończenia
225,Mieszkanie ul. Lubelska,https://www.otodom.pl/pl/oferta/mieszkanie-ul-lubelska-ID4dl3m,"Rzeszów, Staromieście, Lubelska",64 m²,555 000 zł,390 zł,2,pustak,miejskie,7,19,wtórny,2018,blok,do zamieszkania
226,Ustawne Mieszkanie Osiedle Architektów A3.2.M117,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-2-m117-ID4dzfn,"Rzeszów, Staroniwa, ul. Architektów","40,14 m²",337 176 zł,,2,,,2,8,pierwotny,2023,blok,
227,Przytulne Mieszkanie Osiedle Architektów A3.2.M116,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-osiedle-architektow-a3-2-m116-ID4dzfm,"Rzeszów, Staroniwa, ul. Architektów","42,90 m²",360 360 zł,,2,,,2,8,pierwotny,2023,blok,
228,Nowe Mieszkanie na Osiedlu Architektów A3.2.M115,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-2-m115-ID4dzfk,"Rzeszów, Staroniwa, ul. Architektów","37,40 m²",314 160 zł,,2,,,2,8,pierwotny,2023,blok,
229,Ustawne Mieszkanie Osiedle Architektów A3.2.M114,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-2-m114-ID4dzfi,"Rzeszów, Staroniwa, ul. Architektów","42,96 m²",395 232 zł,,2,,,2,8,pierwotny,2023,blok,
230,Nowe Mieszkanie na Osiedlu Architektów A3.2.M113,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-2-m113-ID4dzfg,"Rzeszów, Staroniwa, ul. Architektów","64,23 m²","512 555,40 zł",,3,,,2,8,pierwotny,2023,blok,
231,Mieszkanie na Osiedlu Architektów A3.1.M111,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a3-1-m111-ID4dzf6,"Rzeszów, Staroniwa, ul. Architektów","30,43 m²",279 956 zł,,1,,,2,8,pierwotny,2023,blok,
232,Ustawne Mieszkanie Osiedle Architektów A3.1.M110,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-1-m110-ID4dzf2,"Rzeszów, Staroniwa, ul. Architektów","40,14 m²",337 176 zł,,2,,,1,8,pierwotny,2023,blok,
233,Mieszkanie Osiedle Architektów A3.1.M109,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-a3-1-m109-ID4dzeZ,"Rzeszów, Staroniwa, ul. Architektów","42,90 m²",360 360 zł,,2,,,1,8,pierwotny,2023,blok,
234,Nowe Mieszkanie na Osiedlu Architektów A3.1.M108,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-1-m108-ID4dzeW,"Rzeszów, Staroniwa, ul. Architektów","37,40 m²",314 160 zł,,2,,,1,8,pierwotny,2023,blok,
235,Ustawne Mieszkanie Osiedle Architektów A3.1.M107,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-1-m107-ID4dzeC,"Rzeszów, Staroniwa, ul. Architektów","42,96 m²",395 232 zł,,2,,,1,8,pierwotny,2023,blok,
236,Nowe Mieszkanie na Osiedlu Architektów A3.1.M106,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-1-m106-ID4dzev,"Rzeszów, Staroniwa, ul. Architektów","64,23 m²","512 555,40 zł",,3,,,parter,8,pierwotny,2023,blok,
237,Wygodne Mieszkanie Osiedle Architektów A3.1.M105,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-a3-1-m105-ID4dzet,"Rzeszów, Staroniwa, ul. Architektów","61,90 m²",493 962 zł,,3,,,1,8,pierwotny,2023,blok,
238,Mieszkanie na Osiedlu Architektów A3.1.M104,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a3-1-m104-ID4dzer,"Rzeszów, Staroniwa, ul. Architektów","30,43 m²",279 956 zł,,1,,,1,8,pierwotny,2023,blok,
239,Ustawne Mieszkanie Osiedle Architektów A3.0.M103,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-0-m103-ID4dzeo,"Rzeszów, Staroniwa, ul. Architektów","40,14 m²",337 176 zł,,2,,,parter,8,pierwotny,2023,blok,
240,Mieszkanie na sprzedaż w centrum!,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-w-centrum-ID4dzcL,"Rzeszów, Śródmieście, prof. Ludwika Chmaja",35 m²,239 000 zł,320 zł,2,,miejskie,5,5,wtórny,1960,blok,do zamieszkania
241,idealne pod wynajem,https://www.otodom.pl/pl/oferta/idealne-pod-wynajem-ID4c15H,"Eugeniusza Kwiatkowskiego, Rzeszów, podkarpackie","29,20 m²",275 000 zł,250 zł,1,pustak,miejskie,8,11,pierwotny,2020,blok,do wykończenia
242,funkcjonalne mieszkanie z poddaszem oraz balkonem,https://www.otodom.pl/pl/oferta/funkcjonalne-mieszkanie-z-poddaszem-oraz-balkonem-ID4c20T,"al. gen. Władysława Sikorskiego, Rzeszów, podkarpackie","65,37 m²",409 000 zł,168 zł,3,pustak,gazowe,3,3,wtórny,2008,blok,do zamieszkania
243,mieszkanie po kapitalnym remoncie z balkonem,https://www.otodom.pl/pl/oferta/mieszkanie-po-kapitalnym-remoncie-z-balkonem-ID4ci0Q,"bp. Józefa Sebastiana Pelczara, Rzeszów, podkarpackie",53 m²,399 000 zł,598 zł,2,wielka płyta,miejskie,1,10,wtórny,1979,blok,do zamieszkania
244,mieszkanie dwupokojowe z pięknym widokiem,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-z-pieknym-widokiem-ID4cRar,"Henryka Sienkiewicza, Rzeszów, podkarpackie","42,60 m²",289 000 zł,475 zł,2,wielka płyta,miejskie,8,10,wtórny,1974,blok,do remontu
245,"2 pokoje, balkon, komórka lokatorska",https://www.otodom.pl/pl/oferta/2-pokoje-balkon-komorka-lokatorska-ID4dwr0,"Gościnna, Rzeszów, podkarpackie","42,58 m²",270 000 zł,,2,pustak,gazowe,3,4,pierwotny,2022,blok,do wykończenia
246,Nowość ! Nowa Inwestycja OSIEDLE ARCHITEKTÓW,https://www.otodom.pl/pl/oferta/nowosc-nowa-inwestycja-osiedle-architektow-ID4beFu,"ul. Architektów, Rzeszów, podkarpackie, Rzeszów, podkarpackie","45,78 m²",384 552 zł,,3,,,,,pierwotny,,,
247,"Mieszkanie dwustronne, niezależne 3 pokoje",https://www.otodom.pl/pl/oferta/mieszkanie-dwustronne-niezalezne-3-pokoje-ID4d7qR,"Janusza Korczaka, Rzeszów, podkarpackie","49,90 m²",355 000 zł,,3,wielka płyta,miejskie,3,4,wtórny,1977,blok,do zamieszkania
248,"Mieszkanie 61,57 m2 - Drabinianka",https://www.otodom.pl/pl/oferta/mieszkanie-61-57-m2-drabinianka-ID4dk4S,"Gościnna, Rzeszów, podkarpackie","61,57 m²",369 420 zł,,3,,,,,pierwotny,,,
249,Mieszkanie Osiedle Architektów A3.0.M102,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-a3-0-m102-ID4dz4e,"Rzeszów, Staroniwa, ul. Architektów","42,90 m²",360 360 zł,,2,,,parter,8,pierwotny,2023,blok,
250,"Przestronne, 65m2, 3 pokoje, wolne od zaraz",https://www.otodom.pl/pl/oferta/przestronne-65m2-3-pokoje-wolne-od-zaraz-ID4deD8,"Rzeszów, podkarpackie",65 m²,315 000 zł,510 zł,3,,miejskie,4,4,wtórny,1990,blok,do remontu
251,Ustawny Apartament M4,https://www.otodom.pl/pl/oferta/ustawny-apartament-m4-ID4aU8o,"Rzeszów, Nowe Miasto, al. mjr. Wacława Kopisto","43,25 m²",Zapytaj o cenę,,2,,,1,14,pierwotny,2023,,do wykończenia
252,Kompaktowy Apartament M1,https://www.otodom.pl/pl/oferta/kompaktowy-apartament-m1-ID4aU8s,"Rzeszów, Nowe Miasto, al. mjr. Wacława Kopisto","35,03 m²",Zapytaj o cenę,,1,,,1,14,pierwotny,2023,,do wykończenia
253,Nowe Mieszkanie na Osiedlu Architektów A3.0.M101,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-0-m101-ID4dz3l,"Rzeszów, Staroniwa, ul. Architektów","37,40 m²",314 160 zł,,2,,,parter,8,pierwotny,2023,blok,
254,Nowe Mieszkanie 2-pokojowe Nowoczesne Pobitno M55,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-nowoczesne-pobitno-m55-ID48BRz,"Rzeszów, Pobitno, ul. Małopolska","60,77 m²",465 951 zł,,3,,,> 10,,pierwotny,2021,,
255,Mieszkanie Nowoczesne Pobitno M16,https://www.otodom.pl/pl/oferta/mieszkanie-nowoczesne-pobitno-m16-ID48DUp,"Rzeszów, Pobitno, ul. Małopolska","69,48 m²",397 157 zł,,3,,,parter,,pierwotny,2018,,
256,Ustawne Mieszkanie Osiedle Architektów A3.0.M100,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-a3-0-m100-ID4dz2k,"Rzeszów, Staroniwa, ul. Architektów","42,96 m²",395 232 zł,,2,,,parter,8,pierwotny,2023,blok,
257,Nowe Mieszkanie na Osiedlu Architektów A3.0.M99,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a3-0-m99-ID4dz0s,"Rzeszów, Staroniwa, ul. Architektów","64,23 m²","512 555,40 zł",,3,,,parter,8,pierwotny,2023,blok,
258,"ARONIOWA Rzeszów-dom szeregowy o pow. 110,04 m2",https://www.otodom.pl/pl/oferta/aroniowa-rzeszow-dom-szeregowy-o-pow-110-04-m2-ID47QAP,"Rzeszów, Budziwój, Rzeszów, ul. Aroniowa","110,04 m²",499 000 zł,,5,pustak,gazowe,,2,pierwotny,2022,szeregowiec,do wykończenia
259,Wygodne Mieszkanie na Osiedlu Architektów A3.0.M98,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a3-0-m98-ID4dyZR,"Rzeszów, Staroniwa, ul. Architektów","61,90 m²",493 962 zł,,3,,,parter,8,pierwotny,2023,blok,
260,Mieszkanie na Osiedlu Architektów A3.0.M97,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a3-0-m97-ID4dyZc,"Rzeszów, Staroniwa, ul. Architektów","30,43 m²",279 956 zł,,1,,,parter,8,pierwotny,2023,blok,
261,Nowe mieszkanie w inwestycji Wschodnia 15 | D2,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-inwestycji-wschodnia-15-d2-ID4bAn9,"Rzeszów, Zalesie, al. gen. Władysława Sikorskiego","60,02 m²",408 136 zł,,3,,,1,1,pierwotny,2021,,do wykończenia
262,Mieszkanie w inwestycji Wschodnia 15 | F1,https://www.otodom.pl/pl/oferta/mieszkanie-w-inwestycji-wschodnia-15-f1-ID4bAnW,"Rzeszów, Zalesie, al. gen. Władysława Sikorskiego","57,93 m²",393 924 zł,,3,pustak,gazowe,parter,1,pierwotny,2021,szeregowiec,do wykończenia
263,Wygodne Mieszkanie na Osiedlu Architektów A2.6.M96,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-6-m96-ID4dyXH,"Rzeszów, Staroniwa, ul. Architektów","30,39 m²",279 588 zł,,2,,,6,8,pierwotny,2023,blok,
264,Ustawne Mieszkanie na Osiedlu Architektów A2.6.M95,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-a2-6-m95-ID4dyXk,"Rzeszów, Staroniwa, ul. Architektów","42,70 m²",358 680 zł,,2,,,6,8,pierwotny,2023,blok,
265,Twoje pierwsze mieszkanie-cicha i spokojna okolica,https://www.otodom.pl/pl/oferta/twoje-pierwsze-mieszkanie-cicha-i-spokojna-okolica-ID4bYYu,"Rzeszów, Drabinianka, Miła 29 G","62,76 m²",389 112 zł,,3,,miejskie,1,5,pierwotny,2021,,do wykończenia
266,Twoje pierwsze mieszkanie - 2 balkony - sprawdź!,https://www.otodom.pl/pl/oferta/twoje-pierwsze-mieszkanie-2-balkony-sprawdz-ID4c0W6,"Rzeszów, Drabinianka, Miła 29 G","61,39 m²",405 174 zł,,3,,miejskie,4,5,pierwotny,2021,blok,do wykończenia
267,Twoje pierwsze mieszkanie -ogromny balkon- sprawdź,https://www.otodom.pl/pl/oferta/twoje-pierwsze-mieszkanie-ogromny-balkon-sprawdz-ID4ceA4,"Rzeszów, Drabinianka, Miła 29 G","89,22 m²",557 625 zł,,4,,miejskie,5,5,pierwotny,2021,blok,do wykończenia
268,Wygodne Mieszkanie na Osiedlu Architektów A2.6.M94,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-6-m94-ID4dyVS,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,6,8,pierwotny,2023,blok,
269,Nowe Mieszkanie na Osiedlu Architektów A2.6.M93,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a2-6-m93-ID4dyVN,"Rzeszów, Staroniwa, ul. Architektów","29,89 m²",274 988 zł,,1,,,6,8,pierwotny,2023,blok,
270,Wygodne Mieszkanie na Osiedlu Architektów A2.6.M92,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-6-m92-ID4dyWV,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,6,8,pierwotny,2023,blok,
271,Mieszkanie na Osiedlu Architektów A2.6.M91,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a2-6-m91-ID4dyWC,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,2,,,6,8,pierwotny,2023,blok,
272,Wygodne Mieszkanie na Osiedlu Architektów A2.5.M90,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-5-m90-ID4dyUX,"Rzeszów, Staroniwa, ul. Architektów","30,39 m²",279 588 zł,,2,,,5,8,pierwotny,2023,blok,
273,Ustawne Mieszkanie na Osiedlu Architektów A2.5.M89,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-a2-5-m89-ID4dyUG,"Rzeszów, Staroniwa, ul. Architektów","42,70 m²",358 680 zł,,2,,,5,8,pierwotny,2023,blok,
274,"I piętro, komórka i miejsce garażowe w cenie",https://www.otodom.pl/pl/oferta/i-pietro-komorka-i-miejsce-garazowe-w-cenie-ID4dwna,"Rzeszów, Wilkowyja, ul. Bałtycka","49,34 m²",351 478 zł,,3,,miejskie,1,3,pierwotny,2022,apartamentowiec,do wykończenia
275,Wygodne Mieszkanie na Osiedlu Architektów A2.5.M88,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-5-m88-ID4dyTy,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,5,8,pierwotny,2023,blok,
276,Nowe Mieszkanie na Osiedlu Architektów A2.5.M87,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a2-5-m87-ID4dyTt,"Rzeszów, Staroniwa, ul. Architektów","29,89 m²",274 988 zł,,1,,,5,8,pierwotny,2023,blok,
277,Kawalerka Z Pięknym Widokiem,https://www.otodom.pl/pl/oferta/kawalerka-z-pieknym-widokiem-ID4dyTs,"Rzeszów, podkarpackie",25 m²,235 000 zł,,1,,,> 10,11,wtórny,1985,,
278,Wygodne Mieszkanie na Osiedlu Architektów A2.5.M86,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-5-m86-ID4dyT5,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,5,8,pierwotny,2023,blok,
279,Mieszkanie na Osiedlu Architektów A2.5.M85,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a2-5-m85-ID4dySh,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,4,,,5,8,pierwotny,2023,blok,
280,Wygodne Mieszkanie na Osiedlu Architektów A2.4.M84,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-4-m84-ID4dyRp,"Rzeszów, Staroniwa, ul. Architektów","30,39 m²",279 588 zł,,2,,,4,8,pierwotny,2023,blok,
281,Ustawne Mieszkanie na Osiedlu Architektów A2.4.M83,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-a2-4-m83-ID4dyQJ,"Rzeszów, Staroniwa, ul. Architektów","42,70 m²",358 680 zł,,2,,,4,8,pierwotny,2023,blok,
282,Ostatnie 2-pokojowe mieszkanie - ul. K. Wojtyły,https://www.otodom.pl/pl/oferta/ostatnie-2-pokojowe-mieszkanie-ul-k-wojtyly-ID4dyQu,"Rzeszów, Drabinianka, ul. kard. Karola Wojtyły","49,89 m²",309 000 zł,,2,pustak,gazowe,2,2,pierwotny,2022,blok,do wykończenia
283,Wygodne Mieszkanie na Osiedlu Architektów A2.4.M82,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-4-m82-ID4dyQo,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,4,8,pierwotny,2023,blok,
284,"Przestronne mieszkanie z wyposażeniem, garaż!",https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-wyposazeniem-garaz-ID4d6vX,"Rzeszów, Słocina, Świętego Rocha","64,29 m²",575 000 zł,450 zł,2,pustak,gazowe,1,2,wtórny,2012,blok,do zamieszkania
285,Nowe Mieszkanie na Osiedlu Architektów A2.4.M81,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a2-4-m81-ID4dyQj,"Rzeszów, Staroniwa, ul. Architektów","29,89 m²",274 988 zł,,1,,,4,8,pierwotny,2023,blok,
286,Mieszkanie na Osiedlu Architektów A2.4.M80,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a2-4-m80-ID4dyQe,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,4,8,pierwotny,2023,blok,
287,Mieszkanie na Osiedlu Architektów A2.4.M79,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a2-4-m79-ID4dyPW,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,4,,,4,8,pierwotny,2023,blok,
288,Wygodne Mieszkanie na Osiedlu Architektów A2.3.M78,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-3-m78-ID4dyPi,"Rzeszów, Staroniwa, ul. Architektów","30,39 m²",279 588 zł,,2,,,3,8,pierwotny,2023,blok,
289,Ustawne Mieszkanie na Osiedlu Architektów A2.3.M77,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-a2-3-m77-ID4dyOZ,"Rzeszów, Staroniwa, ul. Architektów","42,70 m²",358 680 zł,,2,,,3,8,pierwotny,2023,blok,
290,Wygodne Mieszkanie na Osiedlu Architektów A2.3.M76,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-3-m76-ID4dyOS,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,3,8,pierwotny,2023,blok,
291,Nowe Mieszkanie na Osiedlu Architektów A2.3.M75,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a2-3-m75-ID4dyON,"Rzeszów, Staroniwa, ul. Architektów","29,89 m²",274 988 zł,,1,,,3,8,pierwotny,2023,blok,
292,Mieszkanie na Osiedlu Architektów A2.3.M73,https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-architektow-a2-3-m73-ID4dyOC,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,4,,,3,8,pierwotny,2023,blok,
293,Wygodne Mieszkanie na Osiedlu Architektów A2.2.M72,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-2-m72-ID4dyNP,"Rzeszów, Staroniwa, ul. Architektów","30,39 m²",279 588 zł,,2,,,2,8,pierwotny,2023,blok,
294,Ustawne Mieszkanie na Osiedlu Architektów A2.2.M71,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-a2-2-m71-ID4dyNM,"Rzeszów, Staroniwa, ul. Architektów","42,70 m²",358 680 zł,,2,,,2,8,pierwotny,2023,blok,
295,Wygodne Mieszkanie na Osiedlu Architektów A2.2.M70,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-a2-2-m70-ID4dyNq,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,2,8,pierwotny,2023,blok,
296,Nowe Mieszkanie na Osiedlu Architektów A2.2.M69,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-a2-2-m69-ID4dyNe,"Rzeszów, Staroniwa, ul. Architektów","29,89 m²",274 988 zł,,1,,,2,8,pierwotny,2023,blok,
